num-flashcard,english-word,irregular-english-word,definition,example-sentence,translate-example-sentence
433,spend,,1. (v.) Gastar. ; 2. (v.) Pasar (un tiempo en una actividad).,Danielle spends lots of money on makeup.,Danielle gasta mucho dinero en maquillaje.
434,bother,,"1. (v.) Molestar.  ; 2. (v.) Preocupar, inquietar.",Why does it bother you so much?,¿Por qué te molesta tanto?
435,short,,"1. (adj.) Bajo, chaparro. ; 2. (adj.) Corto.",Fred is a very short man.,Fred es un hombre muy bajo.
436,throat,,1. (sus.) Garganta.,I stayed home today because my throat hurt.,Hoy me quedé en casa porque me dolía la garganta.
437,dry,dried,1. (adj.) Seco.  ; 2. (v.) Secar.,Your shirt is clean and dry.,Tu camisa está limpia y seca.
438,sort,,"1. (sus.) Clase, tipo, género  ; 2. (v.) Ordenar.",We do all sorts of things here!,¡Hacemos todo tipo de cosas aquí!
439,couch,,"1. (sus.) Sofá, diván.",She tried to sell her old couch.,Trató de vender su viejo sofá.
440,beat,,"1. (v.) Batir, golpear.  ; 2. (v.) Latir.",My heart was beating very quickly.,Mi corazón latía muy rápido.
441,tongue,,1. (sus.) Lengua.,Hayden can touch his nose with his tongue.,Hayden puede tocarse la nariz con la lengua.
442,meal,,"1. (sus.) Comida, el tiempo para comer.",She advised him not to eat between meals.,Ella le aconsejó que no comiera entre comidas.
443,horn,,"1. (sus.) Bocina de un vehículo, claxon.",Lena honked her horn three times.,Lena tocó la bocina tres veces.
444,strange,,1. (adj.) Extraño.  ; 2. (adv.) Extrañamente.,These sentences are strange.,Estas oraciones son extrañas.
445,nut,,1. (sus.) Nuez.  ; 2. (sus.) Fruta seca.,Jasmine says she can't eat nuts.,Jasmine dice que no puede comer nueces.
446,yell,,1. (v.) Gritar.,Kendall often yells at her children.,Kendall a menudo les grita a sus hijos.
447,parking,,"1. (sus.) Estacionamiento, aparcamiento.",The parking lot is closed.,El estacionamiento está cerrado.
448,gentleman,,1. (sus.) Caballero.,Jonah has always been a gentleman.,Jonah siempre ha sido un caballero.
449,early,,1. (adj.) Temprano.,Jennifer exercises early each morning.,Jennifer hace ejercicio temprano cada mañana.
450,pound,,"1. (sus.) Libra, 0.45 kilos.; 2. (v.) Machacar, aporrear, majar.",How many pounds have you lost?,¿Cuántas libras has perdido?
451,comfortable,,1. (adj.) Cómodo  ; 2. (adj.) Adecuado,I don't feel comfortable around Hannah.,No me siento cómodo con Hannah.
452,fault,,"1. (sus.) Defecto, imperfección, falla.  ; 2. (sus.) Culpa, responsabilidad de una falla.",Bob said the accident wasn't his fault.,Bob dijo que el accidente no fue su culpa.
453,though,,"1. (adv.) Sin embargo, a pesar de todo, no obstante.","That isn't what Sophia said, though.","Sin embargo, eso no es lo que dijo Sophia."
454,fat,,1. (sus.) Grasa.  ; 2. (adj.) Gordo.,He doesn't look fat at all.,Él mo se ve gordo en absoluto.
455,upset,,"1. (v.) Molestar, disturbar, perturbar. ; 2. (adj.) Molesto, enojado.",Abigail wasn't at all upset.,Abigail no estaba en absoluto molesta.
456,van,,1. (sus.) Camioneta.,Martha wasn't in the van.,Martha no estaba en la camioneta.
457,bubble,,1. (sus.) Burbuja.,Dawson felt like he was in a bubble.,Dawson se sentía como si estuviera en una burbuja.
458,owe,,1. (v.) Deber.,I put the money that I owe you on the table.,Puse el dinero que te debo sobre la mesa.
459,finger,,1. (sus.) Dedo.,Cheryl tapped her fingers on her desk.,Cheryl tamborileó con los dedos sobre su escritorio.
460,law,,1. (sus.) Ley,We have a lot of stupid laws here.,Tenemos muchas leyes estúpidas aquí.
461,toe,,"1. (sus.) Dedo del pie, ortejo.",Catherine bent over and touched her toes.,Catherine se inclinó y se tocó los dedos de los pies.
462,sweet,,"1. (adj.) Dulce.  ; 2. (sus.) Caramelo, golosina.",Sam and Layla are so sweet.,Sam y Layla son tan dulces.
463,road,,"1. (sus.) Camino, calle.",The car was driving on the road.,El coche circulaba por la carretera.
464,bite,bit,1. (v.) Morder.  ; 2. (sus.) Bocado.,Kevin said he couldn't eat another bite.,Kevin dijo que no podía comer otro bocado.
465,expect,,1. (v.) Esperar. ; 2. (v.) Suponer.,We didn't expect it to rain on his birthday.,No esperábamos que lloviera en su cumpleaños.
466,cop,,1. (sus.) Poli (de policia).,Britney saw tons of cops in the area.,Britney vio toneladas de policías en el área.
467,poor,,1. (adj.) Pobre.  ; 2. (adj.) Mal hecho,He comes from a very poor family.,Viene de una familia muy pobre.
468,crowd,,"1. (sus.) Multitud, muchedumbre.  ; 2. (v.) Agolparse.",Adam likes to avoid large crowds.,A Adam le gusta evitar grandes multitudes.
469,young,,1. (adj.) Joven.,My sister is too young to vote.,Mi hermana es demasiado joven para votar.
470,type,,1. (sus.) Tipo.  ; 2. (v.) Teclar.,What type of dog is that?,¿Qué tipo de perro es ese?
471,blood,,1. (sus.) Sangre.,The sink was covered in blood.,El fregadero estaba cubierto de sangre.
472,neighbor,,1. (sus.) Vecino.,Our neighbors are from Australia.,Nuestros vecinos son de Australia.
473,truth,,"1. (sus.) Verdad.  ; 2. (sus.) Sinceridad, integridad.","To tell you the truth, I didn't like the movie that much.","A decir verdad, no me gustó mucho la película."
474,screw,,1. (sus.) Tornillo.,"The instructions say to put screws here, here and here.","Las instrucciones dicen que hay que poner tornillos aquí, aquí y aquí."
475,cousin,,"1. (sus.) Primo, prima.",Ian is going to go fishing with one of his cousins next weekend.,Ian va a ir a pescar con uno de sus primos el próximo fin de semana.
476,cash,,1. (sus.) Dinero en efectivo. ; 2. (sus.) Billetes,Jacob asked me if I had any cash,Jacob me preguntó si tenía dinero en efectivo.
477,lip,,1. (sus.) Labio.,"Josephine has bright, red lips.",Josephine tiene labios rojos y brillantes.
478,pack,,"1. (sus.) Paquete.  ; 2. (v.) Empaquetar, empacar.",Anthony started packing for his trip to France.,Anthony comenzó a empacar para su viaje a Francia.
479,low,,1. (adv.) Bajo.,The TV volume is too low.,El volumen del televisor es demasiado bajo.
480,borrow,,1. (v.) Tomar prestado.,This is the book that I borrowed from Kenneth.,Este es el libro que tomé prestado de Kenneth.
481,engine,,1. (sus.) Motor.  ; 2. (sus.) Locomotora.,I turned off the engine.,Apagué el motor.
482,bone,,1. (sus.) Hueso.,Is it OK for dogs to eat chicken bones?,¿Está bien que los perros coman huesos de pollo?
483,lift,,1. (sus.) Leventar.,Bill lifted the table and moved it on his own.,Bill levantó la mesa y la movió por su cuenta.
484,freak,,"1. (sus.) Fanático, seguidor  ; 2. (sus.) Extravagancia, delirio",Mary is a fitness freak.,Mary es una fanática del fitness.
485,garbage,,1. (sus.) Basura.,Cody threw the pills in the garbage.,Cody tiró las pastillas a la basura.
486,trust,,1. (v.) Confiar. ; 2. (sus.) Confianza.,Do you trust me?,¿Confías en mí?
487,hall,,"1. (sus.) Vestíbulo, pasilllo.",There was nobody in the hall.,No había nadie en el pasillo.
488,mood,,"1. (sus.) Humor, estado de ánimo.",You seem to be in a good mood this morning.,Parece que estás de buen humor esta mañana.
489,build,,"1. Verbo transitivo: Construir, formar. ; 2. (sus.) Constitución, complexión.","One day, I'd like to build my own computer.","Un día, me gustaría construir mi propia computadora."
490,smoke,,1. (v.) Fumar.  ; 2. (sus.) Humo.,I can help you stop smoking.,Puedo ayudarte a dejar de fumar.
491,kick,,"1. (v.) Patear.  ; 2. (sus.) Patada, puntapié.",He kicked the ball all the way across the field.,Pateó la pelota por todo el campo.
492,beg,,"1. (v.) Implorar, rogar, suplicar.   ; 2. (v.) Pedir.",Paige begged me to help her clean the kitchen.,Paige me rogó que la ayudara a limpiar la cocina.
493,size,,1. (sus.) Tamaño.,What size shoe do you wear?,¿Qué tamaño de zapato calzas?
494,appointment,,1. (sus.) Cita.,I'm always on time for appointments.,Siempre llego a tiempo a las citas.
495,wild,,1. (adj.) Salvaje.,Be very careful when dealing with wild animals.,Tenga mucho cuidado al tratar con animales salvajes.
496,truck,,1. (sus.) Camión.,Are you sure you can drive a truck this big?,¿Estás seguro de que puedes conducir un camión tan grande?
497,straight,,"1. (adj.) Liso, lacio. ; 2. (adj.) Recto, directo.",She has beautiful straight hair.,Ella tiene un hermoso cabello lacio.
498,perhaps,,"1. (adv.) Quizá, quizás, a lo mejor.",Perhaps we can do find a way to do that.,Quizás podamos encontrar una manera de hacerlo.
499,tip,,1. (sus.) Punta.  ; 2. (v.) Dar propina.,Rachel tried to look at the tip of her nose,Rachel trató de mirarse la punta de la nariz.
500,bump,,1. (v.) Golpear.,Russel bumped his head on the cupboard door.,Russel se golpeó la cabeza con la puerta del armario.
501,get rid of,,"1. (v.) Quitarse, librar de.",Weston has been trying to get rid of the mice in his house.,Weston ha estado tratando de deshacerse de los ratones en su casa.
502,whose,,"1. (pron.) De quién, de quiénes  ; 2. (pron.) Cuyo, cuyos, cuya, cuyas.","Hey, whose dog is this?",¿De quien es este perro?
503,quit,,1. (v.) Dejar.  ; 2. (v.) Renunciar.,"Roman is always threatening to quit, but he never does.","Roman siempre amenaza con renunciar, pero nunca lo hace."
504,dial,,1. (v.) Marcar (en el teléfono).,Do you want me to dial the number for you?,¿Quieres que marque el número por ti?
505,skin,,"1. (sus.) Piel, cutis.  ; 2. (sus.) Pellejo de animal.",Don't judge people by their skin color,No juzgues a la gente por su color de piel.
506,waste,,"1. (v.) Malgastar.  ; 2. (sus.) Despilfarro, pérdida.",This is such a waste of time and money.,Esto es una pérdida de tiempo y dinero.
507,interview,,1. (sus.) Entrevista.  ; 2. (v.) Entrevistar.,Can we interview Mark?,¿Podemos entrevistar a Mark?
508,unless,,1. (conj.) A menos que.,"I won't do it unless you do it, too",No voy a hacer eso a menos que lo hagas también
509,certain,,"1. (pron.) Algún, algunos. ; 2. (adj.) Cierto.",You need to say it in a certain way.,Tienes que decirlo de cierta manera.
510,insane,,1. (adj.) Loco.,"You really are insane, aren't you?","Realmente estás loco, ¿no?"
511,count,,1. (v.) Contar.  ; 2. (sus.) Conde.,They're counting their money.,Están contando su dinero.
512,rather,,1. (v.) Preferir ; 2. (adj.) Bastante,I'd rather cook at home tonight instead of going out.,Prefiero cocinar en casa esta noche en lugar de salir.
513,begin,,"1. (v.) Empezar, comenzar.",Holly began studying English when she was a child.,Holly comenzó a estudiar inglés cuando era niña.
514,underwear,,"1. (sus.) Ropa interior.  ; 2. (sus.) Calzoncillo, trusa (México).",He just stood there in his underwear.,Él solo se quedó allí en ropa interior.
515,besides,,"1. (prep.) Aparte de, además de.  ; 2. (adv.) Además. adicionalmente.",Do you speak any other language besides English?,¿Hablas algún otro idioma además del inglés?
516,crack,,"1. (sus.) Fisura, grieta.  ; 2. (v.) Quebrarse, romperse.",There's a crack in this plate.,Hay una grieta en este plato.
517,square,,1. (sus.) Plaza.  ; 2. (sus.) Cuadrado.,"I'll meet you in the town square later, okay?","Te veré en la plaza del pueblo más tarde, ¿de acuerdo?"
518,belong,,1. (v.) Pertenecer.,Ron took something that didn't belong to him.,Ron tomó algo que no le pertenecía.
519,swear,swore,"1. (v.) Jurar.  ; 2. (v.) Blasfemar, decir palabrotas.",Zoey swears she won't do it again.,Zoey jura que no volverá a hacer eso.
520,lane,,1. (sus.) Carril. ; 2. (sus.) Camino.,Are there any bike lanes in Texas?,¿Hay carriles para bicicletas en Texas?
521,magazine,,1. (sus.) Revista.  ; 2. (sus.) Revistero.,I cancelled my subscription to the magazine after 5 years.,Cancelé mi suscripción a la revista después de 5 años..
522,crash,,"1. (v.) Chocar, estrellarse. ; 2. (sus.) Estrépito.",I'm not the one who crashed the car.,Yo no soy el que estrelló el coche.
523,doll,,1. (sus.) Muñeca de juguete.,Makayla is playing with her doll house.,Makayla está jugando con su casa de muñecas.
524,terrific,,1. (adj.) Estupendo.,Harvey did a terrific job on the last project.,Harvey hizo un estupendo trabajo en el último proyecto.
525,rip,,1. (v.) Romper.  ; 2. (v.) Rasgar.,He ripped the envelope open.,Rompió el sobre para abrirlo.
526,neither,,1. (conj.) Ni.  ; 2. (pron.) Ninguno.,Neither of us know how to help.,Ninguno de nosotros sabe cómo ayudar.
527,fool,,"1. (sus.) Idiota, tonto.  ; 2. (v.) Engañar.",You won't be able to fool me again.,No podrás engañarme de nuevo.
528,spit,,1. (v.) Escupir.,She spit on me.,Ella me escupió.
529,hook,,"1. (sus.) Gancho, anzuelo.  ; 2. (v.) Enganchar",You can hang your coats on those hooks over there.,Puedes colgar tus abrigos en esos ganchos de allí.
530,round,,1. (adj.) Circular.  ; 2. (sus.) Ronda.,The Earth isn't perfectly round.,La Tierra no es perfectamente redonda.
531,sauce,,1. (sus.) Salsa.,Victor put too much hot sauce on his pizza.,Víctor puso demasiada salsa picante en su pizza.
532,jerk,,"1. (sus.) Imbécil, gilipollas, idiota.",You were a jerk.,Eras un idiota.
533,power,,"1. (sus.) Energía, pila, luz. ; 2. (sus.) Fuerza, poder.","Ah man, my phone ran out of power.","Ah hombre, mi teléfono se quedó sin energía."
534,quiet,,"1. (adj.) Callado, silencioso. ; 2. (adj.) Tranquilo, calmado.",Dylan and Jessie sat at a table in a quiet corner.,Dylan y Jessie están en una mesa en un rincón tranquilo.
535,match,,"1. (v.) Empareajr, ser igual.; 2. (sus.) Cerilla, cerillo.",Your socks don't match!,¡Tus calcetines no son iguales!
536,library,,1. (sus.) Biblioteca.,John went to the library to study.,Juan fue a la biblioteca a estudiar.
537,shave,,"1. (v.) Afeitar, afeitarse  ; 2. (sus.) Afeitada",We shaved our heads together.,Nos afeitamos la cabeza juntos.
538,push,,1. (v.) Empujar,You have to push the door really hard to open it.,Tienes que empujar fuertemente la puerta para abrirla.
539,disgusting,,"1. (adj.) Asqueroso, repugnante.","Don't look behind the stove, it's disgusting.","No mires detrás de la estufa, es repugnante."
540,slip,,"1. (v.) Patinar, resbalarse. ; 2. (v.) Deslizar, deslizarse.",Careful not to slip! The floor is wet.,¡Cuidado con no resbalar! El piso está mojado.
541,ask out,,1. (v.) Invitar a salir,I've wanted to ask you out for a while now.,He querido invitarte a salir desde hace un tiempo.
542,spare,,"1. (adj.) Extra, de sobra, de repuesto, libre.",Joel is learning German in his spare time.,Joel está aprendiendo alemán en su tiempo libre.
543,bottom,,"1. (sus.) Fondo. ; 2. (sus.) Base, pie, parte inferior.",They swam to the bottom of the ocean.,Nadaron hasta el fondo del océano.
544,plenty,,1. (sus.) Abundancia.  ; 2. (adj.) Suficiente.,We have plenty of time for all that.,Tenemos suficiente tiempo para todo eso.
545,hot,,1. (sus.) Calor.,The kitchen gets too hot when I'm cooking.,La cocina se calienta demasiado cuando estoy cocinando.
546,cheer up,,"1. (v.) Aclamar, animar.",She tried to cheer him up with her silly jokes.,Ella trató de animarlo con sus bromas tontas.
547,cough,,1. (sus.) Tos  ; 2. (v.) Toser,I cough when I'm nervous.,Toso cuando estoy nervioso.
548,back up,,"1. (v.) Respaldar, apoyar",He asked me to back him up.,Me pidió que lo apoyara.
549,bark,,1. (v.) Ladrar.,The dog is barking at Elaine.,El perro le está ladrando a Elaine.
550,address,,"1. (sus.) Dirección, domicilio.  ; 2. (v.) Dirigirse a, abordar.",I forgot to write down the address.,Olvidé escribir la dirección.
551,onto,,"1. (prep.) En, sobre.  ; 2. (prep.) Hacia.",A cat ran onto the field during the baseball game.,Un gato corrió hacia el campo durante el partido de béisbol.
552,hire,,"1. (v.) Contratar.  ; 2. (v.) Arrendar, alquilar.",We have to hire more people.,Tenemos que contratar a más personas.
553,dump,,"1. (v.) Tirar, botar.",Nicolas was dumped by his girlfriend.,Nicolás fue botado por su novia.
554,laundry,,1. (sus.) Ropa sucia.  ; 2. (sus.) Lavandería.,Do you have laundry to do?,¿Tienes ropa sucia que lavar?
555,twice,,1. (adv.) Dos veces.,I've been to Mexico twice already.,Ya he estado en México dos veces.
556,beat up,,"1. (v.) Pegar, dar una paliza a",Skyler totally beat Sami up.,Skyler le dio una paliza total a Sami.
557,sweat,,"1. (sus.) Sudor, transpiración.  ; 2. (v.) Sudar, transpirar.",You're not even sweating.,Ni siquiera estás sudando.
558,dear,,"1. (adj.) Querido, cariño.  ; 2. (adj.) Estimado.","What's the matter, dear?","¿Cuál es el problema, cariño?"
559,wheel,,1. (sus.) Rueda.  ; 2. (sus.) Volante.,The car went around the corner on two wheels.,El coche dobló la esquina sobre dos ruedas.
560,arrest,,"1. (sus.) Arresto, detención.  ; 2. (v.) Arrestar, atrapar, detener.",Over thirty people were arrested.,Más de treinta personas fueron arrestadas.
561,blind,,1. (adj.) Ciego.,"If you don't take care of your eyes, you might go blind later in life.","Si no cuidas tus ojos, podrías quedar ciego más adelante en la vida."
562,drawer,,1. (sus.) Cajón.  ; 2. (sus.) Gaveta.,The forks are in the top drawer.,Los tenedores están en el cajón superior.
563,engage,,1. (v.) Captar. ; 2. (adj.) Comprometido.,Andrea and Oscar are engaged,Andrea y Oscar están comprometidos.
564,blow up,,"1. (v.) Hacer explotar ; 2. (v.) Poner aire, inflar",Some electric cars have been blowing up.,Algunos autos eléctricos han estado explotando.
565,congratulations,,1. (sus.) Felicitación.,You won! Congratulations!,¡Ganaste! ¡Felicidades!
566,ugly,,"1. (adj.) Feo, desagradable, repulsivo.  ; 2. (adj.) Peligroso, amenazante.",I try to never wear this shirt because it's so ugly.,Trato de nunca usar esta camisa porque es muy fea.
567,label,,1. (v.) Etiquetar.   ; 2. (sus.) Etiqueta.,Please label the jars before you put them in the fridge.,Etiquete los frascos antes de ponerlos en el refrigerador.
568,swing,,1. (v.) Balancearse. ; 2. (v.) Oscilar.,There was a single light bulb swinging in the middle of the room.,Había una sola bombilla balanceándose en medio de la habitación.
569,wind,,1. (sus.) Viento.,It's very windy and cold today. Don't forget a jacket!,Hace mucho viento y frío hoy. ¡No olvides una chaqueta!
570,break up,,"1. (v.) Separarse, cortar",I broke up with my girlfriend yesterday.,Ayer corté con mi novia.
571,aware,,1. (adj.) Consciente.  ; 2. (adj.) Informado.,We have to be more aware about what's going on.,Tenemos que ser más conscientes de lo que está pasando
572,murder,,1. (sus.) Asesinato.   ; 2. (v.) Asesinar.,"He likes to watch ""murder mystery"" shows.","Le gusta ver programas de ""misterios de asesinatos""."
573,insurance,,1. (sus.) Seguro.,"Someone stole my car, but luckily I had insurance.","Alguien robó mi auto, pero por suerte tenía seguro."
574,reach,,1. (v.) Alcanzar.  ; 2. (sus.) Rango de alcance.,Can you reach those shelves?,¿Puedes alcanzar esos estantes?
575,dirty,,1. (adj.) Sucio,Eli isn't afraid to get dirty.,Eli no tiene miedo de ensuciarse.
576,dip,,1. (v.) Mojar. ; 2. (v.) Remojar.,Travis dipped his cookie in his milk.,Travis mojó su galleta en su leche.
577,pain,,1. (sus.) Dolor.,Try to ignore the pain.,Intenta ignorar el dolor.
578,bring up,brought up,"1. (v.) Sacar el tema, a relucir",Please don't bring up his hair. He hates talking about it.,"Por favor, no saques el tema de su pelo. Odia hablar de eso."
579,cotton,,1. (sus.) Algodón.,This towel is 100% cotton.,Esta toalla es de 100% algodón.
580,mess,,"1. (sus.) Desorden, revoltijo, desastre.  ; 2. (sus.) Lío.",Why don't we clean up this mess?,¿Por qué no limpiamos este desastre?
581,deliver,,1. (v.) Entregar.  ; 2. (v.) Repartir.,I ordered some food to be delivered.,Pedí que se entregara algo de comida.
582,whistle,,1. (sus.) Silbido. ; 2. (v.) Silbar.,Erik started whistling for his dog.,Erik comenzó a silbar a su perro.
583,close to,,"1. (adj.) Cercano, próximo. ; 2. (adj.) Aproximado.",Come close to the fire where it's warmer.,Acércate al fuego donde hace más calor.
584,treat,,"1. (sus.) Delicia, manjar, placer. ; 2. (v.) Tratar.",It's been a real treat for me.,Ha sido un verdadero placer para mí.
585,calm down,,"1. (v.) Tranquilizarse, calmarse",I need you to calm down before we continue.,Necesito que te calmes antes de continuar.
586,flip,,"1. (v.) Girar, voltear.  ; 2. (v.) Dar la vuelta.","Flip a coin and if it lands on heads, we do it!","Voltea una moneda y si cae en cara, ¡lo hacemos!"
587,deserve,,1. (v.) Merecer,Christine deserves much of the credit.,Christine merece gran parte del crédito.
588,blame,,"1. (v.) Culpar, echar la culpa. ; 2. (sus.) Culpa, Imputación, culpación.",Why are you always so quick to blame Joe?,¿Por qué siempre te apresuras a culpar a Joe?
589,sneak,snuck,"1. (v.) Escabullirse, colarse.","She snuck up behind me and shouted ""Boo!"".","Se coló detrás de mí y gritó ""¡Boo!""."
590,contest,,1. (sus.) Concurso.  ; 2. (sus.) Competición.,Three people judged the art contest.,Tres personas juzgaron el concurso de arte.
591,clock,,1. (sus.) Reloj.  ; 2. (v.) Cronometrar.,This clock is at least 100 years old.,Este reloj tiene al menos 100 años.
592,suck,,"1. (v.) Ser malo, apestar. ; 2. (v.) Chupar, sorber.","I hate math, it sucks.","Odio las matemáticas, apestan"
593,catch up,caught up,"1. (v.) Alcanzar, ponerse al día","Since you got here late, let me catch you up.","Ya que llegaste tarde, déjame ponerte al día."
594,trade,,"1. (v.) Intercambiar, canjear.  ; 2. (sus.) Industria.",What will you trade me for it?,¿Qué me intercambiarás por ello?
595,tiny,,"1. (adj.) Minúsculo, diminuto, pequeño.",Can you do me a tiny favor?,¿Puedes hacerme un pequeño favor?
596,alive,,1. (adj.) Vivo.,I wish that Jordan was still alive.,Ojalá Jordan todavía estuviera vivo.
597,rush,,"1. (sus.) Prisa, apuro.   ; 2. (v.) Apurarse, apresurarse.",Garret rushed to print his boarding pass.,Garret se apresuró a imprimir su tarjeta de embarque.
598,doubt,,1. (v.) Dudar.  ; 2. (sus.) Desconfianza.,I doubt they will win the soccer game.,Dudo que ganen el partido de fútbol.
599,cheer up,,"1. (v.) Aclamar, animar.",I listen to this song when I need to cheer up.,Escucho esta canción cuando necesito animarme.
600,lead,,"1. (v.) Guiar, dirigir ; 2. Adjectivo: Principal",Leading a company is hard work!,¡Dirigir una empresa es un trabajo duro!
601,butter,,"1. (sus.) Mantequilla, manteca  ; 2. (v.) Enmantequillar, untar mantequilla.",Will you please pass me the butter?,"¿Me pasas la mantequilla, por favor?"
602,row,,"1. (sus.) Fila, hilera.",Bonnie was sitting in the row in front of me.,Bonnie estaba sentada en la fila frente a mí.
603,fellow,,"1. (sus.) Tipo, hombre o muchacho.",Harry is a funny little fellow.,Harry es un muchachito gracioso.
604,feed,,1. (v.) Alimentar.  ; 2. (v.) Introducir.,Did you feed the dogs?,¿Alimentaste a los perros?
605,chicken out,,"1. (v.) Acobardarse, achicarse",Don't chicken out this time. We need you.,No te acobardes esta vez. Te necesitamos.
606,screen,,"1. (sus.) Pantalla.  ; 2. (sus.) Filtro, malla.",I don't like to read on a screen.,No me gusta leer en una pantalla.
607,refuse,,"1. (v.) Rechazar, rehusar, negarse.",Helen refused to go to Australia with me.,Helen se negó a ir a Australia conmigo.
608,disturb,,1. (v.) Molestar.,Don't disturb your brother while he's studying.,No molestes a tu hermano mientras estudia.
609,kinda,,"1. (adv.) Un poco, also así.",I'm kinda glad that I won't see him again.,Estoy un poco contenta de no volver a verlo.
610,bless,,1. (v.) Bendecir.,Linda has been blessed with that.,Linda ha sido bendecida con eso.
611,load,,1. (sus.) Carga.  ; 2. (v.) Cargar.,This computer takes a lot of time to load,Esta computadora tarda mucho en cargar.
612,come over,came over,"1. (v.) Venirse, pasarse",What time should I come over to your place?,¿A qué hora debo venir a tu casa?
613,score,,"1. (sus.) Puntuación, nota.  ; 2. (sus.) Marcador, resultado.",What was the final score of the game?,¿Cuál fue el resultado final del partido?
614,daily,,"1. (adj.) Diario,  a diario, cotidiano.   ; 2. (sus.) Diario, publicación diaria.",I come to this restaurant almost daily.,Vengo a este restaurante casi a diario.
615,sigh,,1. (v.) Suspirar.  ; 2. (sus.) Suspiro.,Jessica laid down on her bed and sighed.,Jessica se acostó en su cama y suspiró.
616,afford,,"1. (v.) Permitirse, poder pagar. ; 2. (v.) Proporcionar.",I can't afford to buy this house.,No puedo pagar esta casa.
617,shape,,1. (v.) Formar. ; 2. (sus.) Forma.,Shape the mixture into balls then bake for 20 minutes.,Forme bolas con la mezcla y hornea durante 20 minutos.
618,stain,,1. (sus.) Mancha.,"Man, I just got a stain on my favorite shirt!","Hombre, ¡tengo una mancha en mi camisa favorita!"
619,ribbon,,1. (sus.) Moño. ; 2. (sus.) Cinta.,I untied the ribbon.,Desaté el moño.
620,count on,,1. (v.) Contar con,You can count on me to get this done!,¡Puedes contar conmigo para hacer esto!
621,remind,,1. (v.) Recordar,Do I really remind you to Emma?,¿Realmente te recuerdo a Emma?
622,bench,,"1. (sus.) Banca, mesa de trabajo, banquillo.",Elliot is sitting on that bench over there.,Elliot está sentado en esa banca de allí.
623,split,,"1. (v.) Partir, compartir, repartir.",Will you split an order of fries with me?,¿Compartirás una orden de papas fritas conmigo?
624,eventually,,"1. (adv.) Finalmente, eventualmente, con el paso del tiempo.",We're going to have to do that eventually.,Vamos a tener que hacer eso eventualmente.
625,gorgeous,,"1. (sus.) Precioso, guapísimo, divino.  ; 2. (sus.) Espléndido, magnífico.",Lola has gorgeous long hair.,Lola tiene un precioso cabello largo.
626,counter,,"1. (sus.) Mostrador, barra.",Hudson was standing behind the counter.,Hudson estaba de pie detrás del mostrador.
627,weak,,1. (adj.) Débil.  ; 2. (adj.) Agotado.,They said they were too weak to do that.,Dijeron que eran demasiado débiles para hacer eso.
628,cover up,,"1. (v.) Ocultar, tapar (la verdad)","The police tried to cover it up, but people found out anyway.","La policía trató de ocultarlo, pero la gente se enteró de todos modos."
629,bell,,"1. (sus.) Campana, timbre.",Did you hear the doorbell ring?,¿Escuchaste el timbre de la puerta?
630,motion,,"1. (sus.) Movimiento,  ; 2. (v.) Hacer señas.",Addison played the video in slow motion.,Addison reprodujo el video en cámara lenta.
631,awful,,"1. (adj.) Horrible, terrible. ; 2. (adv.) Extremadamente.",You look awful. What's the matter?,Te ves terrible. ¿Qué pasa?
632,fancy,,1. (adj.) Elegante.,He took her to a fancy dinner.,La llevó a una cena elegante.
633,none,,1. (pron.) Ninguno.  ; 2. (pron.) Nada.,None of us have eaten yet,Ninguno de nosotros ha comido todavía.
634,proud,,1. (adj.) Orgulloso.,Christian is very proud of his daughter.,Christian está muy orgulloso de su hija.
635,owner,,1. (sus.) Propietario.,It looks like the last owner didn't care about it much.,Parece que al último propietario no le importaba mucho.
636,deal with,,"1. (v.) Tratar con, encargarse de",Your mother is impossible to deal with.,Tu madre es imposible de tratar.
637,hip,,1. (sus.) Cadera.,Daniel hit his hip against the desk.,Daniel se golpeó la cadera contra el escritorio.
638,trick,,"1. (sus.) Trampa, ardid.   ; 2. (v.) Engañar.",Don't try to trick us.,No intentes engañarnos.
639,odd,,"1. (adj.) Raro, extraño, curioso.  ; 2. (adj.) Impar, non.",The whole thing looked odd.,Todo parecía extraño.
640,rub,,1. (v.) Frotar,Matilda asked Johnny to rub her back.,Matilda le pidió a Johnny que le frotara la espalda.
641,oven,,1. (sus.) Horno.,She put the chicken in the oven.,Puso el pollo en el horno.
642,junk,,"1. (sus.) Basura, desperdicios, chatarra.",I get a lot of junk mail.,Recibo mucho correo basura.
643,end up,,"1. (v.) Acabar, terminar","If you don't learn phrasal verbs, you'll end up sounding weird when you speak.","Si no aprendes los phrasal verbs, terminarás sonando raro cuando hables."
644,squeeze,,1. (v.) Exprimir.  ; 2. (v.) Apretar.,She squeezed lemon all over the salad.,Exprimió limón por toda la ensalada.
645,carpet,,1. (sus.) Alfombra.,I spilled milk in my carpet and need to get it cleaned.,Derramé leche en mi alfombra y necesito limpiarla.
646,outfit,,"1. (sus.) Conjunto (de vestir).  ; 2. (sus.) Ropa, atuendo.",Andre has a photo of himself in that outfit.,Andre tiene una foto de sí mismo con ese atuendo.
647,account,,1. (sus.) Cuenta.  ; 2. (sus.) Relato.,She needed to open a bank account to rent an apartment.,Ella necesitaba abrir una cuenta bancaria para alquilar un apartamento.
